campaign_id,candidate_id,signal_time,entry_time,elapsed_seconds,intended_entry_price,actual_entry_price,move_from_intended_entry_r,structure_valid_at_entry,final_action,regime_at_signal,regime_at_entry,regime_changed,lifecycle_state_at_signal,lifecycle_state_at_entry,lifecycle_changed,location_at_signal,location_at_entry,exhaustion_state_at_signal,exhaustion_state_at_entry,timing_state_at_signal,timing_state_at_entry,htf_state_at_signal,htf_state_at_entry,structure_state_at_signal,structure_state_at_entry,pressure_state_at_signal,pressure_state_at_entry,final_arbiter_location,final_arbiter_pressure,final_arbiter_exhaustion_pct,final_arbiter_decision,learned_trend_health,learned_pullback_completion_pct,learned_continuation_pct,learned_trap_risk_pct,learned_liquidity_sweep,learned_breakout_acceptance,entry_timing_classification,data_source
CAMP-1,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.18_07:00:00|CORE|BUY|EVIDENCE=36,37,38",2026.05.18 07:00:30,2026.05.18 07:03:30,180.0,4543.67,4547.03,0.102,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,89%,ALLOW,OPPOSED,25,15,60,UNKNOWN,UNCONFIRMED,MODERATE_DRIFT_DURING_TIMER,EXACT_JOURNAL
CAMP-2,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.18_13:30:00|CORE|SELL|EVIDENCE=75,76,77",2026.05.18 13:30:31,2026.05.18 13:33:31,180.0,4540.47,4536.22,0.236,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_LATE,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_LATE,PRESSURE_TRANSITIONING,77%,ALLOW,ALIGNED,80,60,0,UNKNOWN,ACCEPTED,LATE_ENTRY_CHASED_DURING_TIMER,EXACT_JOURNAL
CAMP-3,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.18_14:00:00|CORE|SELL|EVIDENCE=78,79,80",2026.05.18 14:00:30,2026.05.18 14:03:30,180.0,4541.77,4540.47,0.066,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,,EXHAUSTION_HIGH,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,70%,ALLOW,ALIGNED,80,75,0,UNKNOWN,ACCEPTED,MODERATE_DRIFT_DURING_TIMER,EXACT_JOURNAL
CAMP-4,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.18_14:30:00|CORE|SELL|EVIDENCE=81,82,83",2026.05.18 14:30:00,2026.05.18 14:33:00,180.0,4536.23,4539.15,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,OPPOSITE_DIRECTION_FORMING,TREND_MATURE,True,LOCATION_LATE,LOCATION_LATE,EXHAUSTION_MODERATE,EXHAUSTION_MODERATE,TIMING_WAIT_PULLBACK,TIMING_WAIT_PULLBACK,HTF_TRANSITIONING,HTF_TRANSITIONING,STRUCTURE_SUPPORTS,STRUCTURE_SUPPORTS,PRESSURE_TRANSITIONING,PRESSURE_TRANSITIONING,LOCATION_LATE,PRESSURE_TRANSITIONING,49%,ALLOW,ALIGNED,80,60,0,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-5,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.18_15:00:00|CORE|SELL|EVIDENCE=84,85,86",2026.05.18 15:00:00,2026.05.18 15:03:00,180.0,4550.63,4548.64,0.074,true,ENTER_NOW,TREND_DN,TREND_DN,False,TREND_MATURE,OPPOSITE_DIRECTION_FORMING,True,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_ALIGNED,,STRUCTURE_SUPPORTS,,SELL_PRESSURE_STRONG,,LOCATION_RESET_PENDING,SELL_PRESSURE_STRONG,84%,ALLOW,ALIGNED,80,75,0,UNKNOWN,ACCEPTED,MODERATE_DRIFT_DURING_TIMER,EXACT_JOURNAL
CAMP-6,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.18_20:00:00|CORE|BUY|EVIDENCE=114,115,116",2026.05.18 20:00:30,2026.05.18 20:03:30,180.0,4550.89,4553.16,0.086,true,ENTER_NOW,TREND_DN,TREND_DN,False,,TRANSITION_NEUTRAL,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,77%,ALLOW,OPPOSED,80,45,20,UNKNOWN,ACCEPTED,MODERATE_DRIFT_DURING_TIMER,EXACT_JOURNAL
CAMP-7,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.18_22:30:00|CORE|BUY|EVIDENCE=129,130,131",2026.05.18 22:30:00,2026.05.18 22:33:00,180.0,4551.77,4556.67,0.225,true,ENTER_NOW,TREND_DN,TREND_DN,False,TREND_MATURE,,False,LOCATION_GOOD,LOCATION_GOOD,EXHAUSTION_HIGH,EXHAUSTION_HIGH,TIMING_READY,TIMING_READY,HTF_STRONG_CONFLICT,HTF_STRONG_CONFLICT,STRUCTURE_SUPPORTS,STRUCTURE_SUPPORTS,PRESSURE_BALANCED,PRESSURE_BALANCED,LOCATION_GOOD,PRESSURE_BALANCED,61%,ALLOW,OPPOSED,25,30,20,UNKNOWN,UNCONFIRMED,LATE_ENTRY_CHASED_DURING_TIMER,EXACT_JOURNAL
CAMP-8,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.19_04:00:00|CORE|SELL|EVIDENCE=150,151,152",2026.05.19 04:00:22,2026.05.19 04:03:22,180.0,4560.46,4562.14,0.0,true,ENTER_NOW,CHOPPY,CHOPPY,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_OPPOSES,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,93%,ALLOW,ALIGNED,80,75,20,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-9,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.19_09:00:00|CORE|BUY|EVIDENCE=180,181,182",2026.05.19 09:00:30,2026.05.19 09:03:30,180.0,4538.61,4539.12,0.026,true,ENTER_NOW,TREND_DN,TREND_DN,False,,TRANSITION_NEUTRAL,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_STRONGLY_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,91%,ALLOW,OPPOSED,25,60,40,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-10,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.19_09:30:00|CORE|BUY|EVIDENCE=183,184,185",2026.05.19 09:30:30,2026.05.19 09:33:00,150.0,4547.38,4547.24,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_STRONGLY_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,91%,ALLOW,OPPOSED,25,15,60,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-11,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.19_11:00:00|CORE|BUY|EVIDENCE=192,193,194",2026.05.19 11:00:30,2026.05.19 11:03:00,150.0,4557.05,4553.71,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_CONFIRMED,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_CONFIRMATION,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,91%,ALLOW,OPPOSED,80,90,20,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-12,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.19_14:00:00|CORE|BUY|EVIDENCE=210,211,212",2026.05.19 14:00:30,2026.05.19 14:03:30,180.0,4545.04,4547.01,0.093,true,ENTER_NOW,TREND_DN,TREND_DN,False,,TRANSITION_NEUTRAL,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,94%,ALLOW,OPPOSED,80,90,20,UNKNOWN,ACCEPTED,MODERATE_DRIFT_DURING_TIMER,EXACT_JOURNAL
CAMP-13,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.20_16:30:00|CORE|SELL|EVIDENCE=357,358,359",2026.05.20 16:30:30,2026.05.20 16:33:00,150.0,4489.64,4490.43,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_LATE,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_PULLBACK,,HTF_TRANSITIONING,,STRUCTURE_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_LATE,PRESSURE_TRANSITIONING,79%,ALLOW,ALIGNED,80,105,0,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-14,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.21_11:30:00|CORE|BUY|EVIDENCE=459,460,461",2026.05.21 11:30:30,2026.05.21 11:33:30,180.0,4533.01,4531.36,0.0,true,ENTER_NOW,TREND_UP,TREND_UP,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,LOCATION_RESET_PENDING,EXHAUSTION_RESET_CONFIRMED,EXHAUSTION_RESET_CONFIRMED,TIMING_WAIT_PULLBACK,TIMING_WAIT_PULLBACK,HTF_TRANSITIONING,HTF_TRANSITIONING,STRUCTURE_SUPPORTS,STRUCTURE_SUPPORTS,PRESSURE_TRANSITIONING,PRESSURE_TRANSITIONING,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,71%,ALLOW,OPPOSED,80,75,0,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-15,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.21_17:00:00|CORE|BUY|EVIDENCE=492,493,494",2026.05.21 17:00:30,2026.05.21 17:03:30,180.0,4515.0,4509.95,0.0,true,ENTER_NOW,TREND_DN,TREND_DN,False,,TRANSITION_NEUTRAL,False,LOCATION_GOOD,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_RECLAIM,,HTF_STRONG_CONFLICT,,STRUCTURE_SUPPORTS,,BUY_PRESSURE_MODERATE,,LOCATION_GOOD,BUY_PRESSURE_MODERATE,69%,ALLOW,OPPOSED,80,75,20,UNKNOWN,ACCEPTED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
CAMP-16,"109812316|XAUUSD|20250401|M30_THREE_M10|2026.05.21_19:30:00|CORE|BUY|EVIDENCE=507,508,509",2026.05.21 19:30:30,2026.05.21 19:33:30,180.0,4516.65,4517.51,0.036,true,ENTER_NOW,TREND_DN,TREND_DN,False,,OPPOSITE_DIRECTION_FORMING,False,LOCATION_RESET_PENDING,,EXHAUSTION_RESET_CONFIRMED,,TIMING_WAIT_CONFIRMATION,,HTF_TRANSITIONING,,STRUCTURE_STRONGLY_SUPPORTS,,PRESSURE_TRANSITIONING,,LOCATION_RESET_PENDING,PRESSURE_TRANSITIONING,71%,ALLOW,OPPOSED,25,15,60,UNKNOWN,UNCONFIRMED,GOOD_TIMING_NEAR_SIGNAL_PRICE,EXACT_JOURNAL
