execution,inherited_campaign,inversion_applied,mode,original_signal,reason,regime,ts
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,true,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,true,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,true,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,RANGING,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,true,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,true,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,true,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,true,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,true,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
SELL,false,true,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_UP,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,false,INVERSE,SELL,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
BUY,false,false,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,TREND_DN,
SELL,false,true,INVERSE,BUY,OWNER_BREAKOUT_OPPOSITE_DIRECTION_POLICY,BRKT_UP,
